qtype	n	k	experts	tokens	total_rows	provider	sf_dequant_config	sf_dequant_us	full_dequant_config	full_dequant_us	bf16_gemm_us	previous_sum_us	sum_estimate_us	sum_delta_pct	fq_gemm_us	sf_gemm_us	fq_break_even_us	sf_gemm_break_even_us	selection
12	1024	5120	1	2048	2048	CUBLAS_PPU_SDK	4	2.239306	12	11.741153	63.129334	79.665487	74.870487	-6.018918			74.870487	72.631181	PENDING
12	1024	5120	1	4096	4096	CUBLAS_PPU_SDK	4	2.239306	12	11.741153	105.122670	121.658823	116.863823	-3.941350			116.863823	114.624517	PENDING
12	5120	8192	1	2048	2048	CUBLAS_PPU_SDK	4	5.877931	10	83.925716	550.800025	639.371455	634.725741	-0.726606			634.725741	628.847810	PENDING
12	5120	8192	1	4096	4096	CUBLAS_PPU_SDK	4	5.877931	10	83.925716	848.450005	937.021434	932.375721	-0.495796			932.375721	926.497790	PENDING
12	5120	25600	1	2048	2048	CUBLAS_PPU_SDK	5	15.046316	11	214.366674	1961.979985	2208.279987	2176.346660	-1.446072			2176.346660	2161.300344	PENDING
12	5120	25600	1	4096	4096	CUBLAS_PPU_SDK	5	15.046316	11	214.366674	3327.670097	3573.970099	3542.036772	-0.893497			3542.036772	3526.990456	PENDING
12	8192	5120	1	2048	2048	CUBLAS_PPU_SDK	4	5.893448	12	81.028572	412.710011	501.295728	493.738583	-1.507522			493.738583	487.845135	PENDING
12	8192	5120	1	4096	4096	CUBLAS_PPU_SDK	4	5.893448	12	81.028572	815.389991	903.975708	896.418563	-0.835990			896.418563	890.525115	PENDING
12	25600	5120	1	2048	2048	CUBLAS_PPU_SDK	5	15.015789	12	212.379992	1268.730044	1516.343375	1481.110036	-2.323573			1481.110036	1466.094248	PENDING
12	25600	5120	1	4096	4096	CUBLAS_PPU_SDK	5	15.015789	12	212.379992	2811.899900	3059.513231	3024.279892	-1.151599			3024.279892	3009.264104	PENDING
12	512	2048	256	2048	16384	DEEPGEMM_INSTALLED	5	28.211110	11	376.810014	379.559994	859.710008	756.370008	-12.020332			756.370008	728.158898	PENDING
12	512	2048	256	4096	32768	DEEPGEMM_INSTALLED	5	28.211110	11	376.810014	438.140005	918.290019	814.950019	-11.253525			814.950019	786.738909	PENDING
12	512	3072	256	2048	16384	DEEPGEMM_INSTALLED	5	40.986667	11	553.399980	568.059981	1281.849980	1121.459961	-12.512386			1121.459961	1080.473294	PENDING
12	512	3072	256	4096	32768	DEEPGEMM_INSTALLED	5	40.986667	11	553.399980	644.720018	1358.510017	1198.119998	-11.806318			1198.119998	1157.133331	PENDING
12	1024	2048	256	2048	16384	DEEPGEMM_INSTALLED	5	54.196000	11	738.889992	730.989993	1677.919984	1469.879985	-12.398684			1469.879985	1415.683985	PENDING
12	1024	2048	256	4096	32768	DEEPGEMM_INSTALLED	5	54.196000	11	738.889992	784.870028	1731.800020	1523.760021	-12.012934			1523.760021	1469.564021	PENDING
12	1024	3072	256	2048	16384	DEEPGEMM_INSTALLED	5	80.133334	11	1098.440051	1116.700053	2545.930028	2215.140104	-12.992891			2215.140104	2135.006770	PENDING
12	1024	3072	256	4096	32768	DEEPGEMM_INSTALLED	5	80.133334	11	1098.440051	1162.260056	2591.490030	2260.700107	-12.764468			2260.700107	2180.566773	PENDING
12	2048	512	256	2048	16384	DEEPGEMM_INSTALLED	5	28.024445	11	377.339989	335.220009	813.430011	712.559998	-12.400577			712.559998	684.535553	PENDING
12	2048	512	256	4096	32768	DEEPGEMM_INSTALLED	5	28.024445	11	377.339989	388.700008	866.910011	766.039997	-11.635581			766.039997	738.015552	PENDING
12	3072	512	256	2048	16384	DEEPGEMM_INSTALLED	5	41.026667	11	555.390000	499.419987	1213.039994	1054.809988	-13.044088			1054.809988	1013.783321	PENDING
12	3072	512	256	4096	32768	DEEPGEMM_INSTALLED	5	41.026667	11	555.390000	569.719970	1283.339977	1125.109971	-12.329547			1125.109971	1084.083304	PENDING
13	1024	5120	1	2048	2048	CUBLAS_PPU_SDK	4	2.258004	12	13.863334	63.082667	82.207429	76.946001	-6.400186			76.946001	74.687996	PENDING
13	1024	5120	1	4096	4096	CUBLAS_PPU_SDK	4	2.258004	12	13.863334	105.006663	124.131425	118.869997	-4.238595			118.869997	116.611992	PENDING
13	5120	8192	1	2048	2048	CUBLAS_PPU_SDK	4	5.904828	12	99.313329	549.650013	649.436682	648.963342	-0.072885			648.963342	643.058514	PENDING
13	5120	8192	1	4096	4096	CUBLAS_PPU_SDK	4	5.904828	12	99.313329	849.889994	949.676663	949.203322	-0.049842			949.203322	943.298495	PENDING
13	5120	25600	1	2048	2048	CUBLAS_PPU_SDK	5	15.038947	11	263.139993	1989.730000	2267.749995	2252.869993	-0.656157			2252.869993	2237.831047	PENDING
13	5120	25600	1	4096	4096	CUBLAS_PPU_SDK	5	15.038947	11	263.139993	3311.619997	3589.639992	3574.759990	-0.414526			3574.759990	3559.721043	PENDING
