case	tokens	channels	router	active_experts	max_rows	simt_us	tc_us	simt_vs_tc_pct	winner	simt_key	tc_key	simt_round_span_pct	tc_round_span_pct	tc_scope
n512-k2048-t1-ch1-spread	1	1	spread	8	1	8.012187201529741	20.26812545955181	-60.46902700736039	SIMT	simt:r2-v6-w8-p8	tc:fqg_q12_l1_tm16_tn64_tk256_wm16_wn16_s2_ap0_dn64_nonpersistent:s4:b0:g0	0.18721331653225748	0.1942678709393774	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t1-ch8-spread	1	8	spread	8	1	8.018437307327986	20.30906267464161	-60.51793509239596	SIMT	simt:r2-v6-w8-p8	tc:fqg_q12_l1_tm8_tn64_tk256_wm8_wn16_s2_ap0_dn64_nonpersistent:s4:b0:g0	0.11691421503678716	0.12309983771035403	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t2-ch1-spread	2	1	spread	16	1	11.502187233418226	29.907812364399433	-61.54119501194351	SIMT	simt:r2-v7-w8-p8	tc:fqg_q12_l1_tm16_tn128_tk256_wm16_wn16_s2_ap0_dn32_nonpersistent:s4:b0:g0	0.2173536448819245	0.9403900923322381	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t2-ch8-spread	2	8	spread	16	1	11.518750339746475	29.831874184310436	-61.387775140843935	SIMT	simt:r2-v7-w8-p8	tc:fqg_q12_l1_tm16_tn64_tk256_wm16_wn16_s2_ap0_dn64_nonpersistent:s2:b0:g0	0.2713013831317243	0.098464862857396	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t3-ch1-spread	3	1	spread	24	1	15.731249935925007	39.02968764305115	-59.694143392085785	SIMT	simt:r2-v7-w4-p8	tc:fqg_q12_l1_tm16_tn64_tk256_wm16_wn16_s2_ap0_dn64_nonpersistent:s2:b0:g0	0.21851484382404884	0.08647553219676868	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t3-ch8-spread	3	8	spread	24	1	15.757499262690544	39.160313084721565	-59.76155954473625	SIMT	simt:r2-v7-w4-p8	tc:fqg_q12_l1_tm16_tn64_tk256_wm16_wn16_s2_ap0_dn64_nonpersistent:s2:b0:g0	0.1665889850318148	0.12608427697958807	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t4-ch1-spread	4	1	spread	32	1	18.897811882197857	51.205623894929886	-63.0942649561799	SIMT	simt:r2-v7-w4-p8	tc:fqg_q12_l1_tm16_tn128_tk256_wm16_wn16_s2_ap0_dn32_nonpersistent:s2:b0:g0	0.37702725951834404	8.902829709273753	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t4-ch8-spread	4	8	spread	32	1	18.90250016003847	50.561875104904175	-62.615112432400565	SIMT	simt:r2-v7-w4-p8	tc:fqg_q12_l1_tm16_tn128_tk256_wm16_wn16_s2_ap0_dn32_nonpersistent:s2:b0:g0	0.36370973086120423	6.608240130851863	NATIVE_FUSED_INDEXED_PREPARE_TC_REDUCE_SCATTER
n512-k2048-t5-ch1-spread	5	1	spread	40	1	22.201250307261944	38.51875104010105	-42.362486561029215	SIMT	simt:r2-v7-w4-p8	tc:fqg_q12_l1_tm8_tn64_tk256_wm8_wn16_s2_ap0_dn64_nonpersistent:s1:b0:g0	1.2302246152228855	0.17199561480816092	GPU_RANK_GATHER_METADATA_DIRECTORY_TC_REDUCER_SCATTER
n512-k2048-t5-ch8-spread	5	8	spread	40	1	22.253749892115593	39.48531299829483	-43.64043690605512	SIMT	simt:r2-v7-w4-p8	tc:fqg_q12_l1_tm8_tn64_tk256_wm8_wn16_s2_ap0_dn64_nonpersistent:s1:b0:g0	1.0054496416832763	0.09022329676284888	GPU_RANK_GATHER_METADATA_DIRECTORY_TC_REDUCER_SCATTER
