case	tokens	channels	active_experts	max_rows	selected	median_us	runner	runner_us	runner_gap_pct	selected_round_span_pct	selected_rounds_won	status
n512-k2048-t1-ch1-spread	1	1	8	1	r2-v6-w8-p8	7.9950001090765	r2-v7-w8-p8	8.01531272009015	0.25406642572263216	0.10162424052654496	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t1-ch8-spread	1	8	8	1	r2-v6-w8-p8	8.027500007301569	r2-v7-w8-p8	8.036249782890081	0.10899751579638295	0.15570576471560726	5	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t2-ch1-spread	2	1	16	1	r2-v7-w8-p8	11.4440624602139	r2-v6-w8-p8	11.534687597304583	0.7918965612582651	0.07645690172464228	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t2-ch8-spread	2	8	16	1	r2-v7-w8-p8	11.441562324762344	r2-v6-w8-p8	11.535937432199717	0.8248445864173837	0.18572627218060242	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t3-ch1-spread	3	1	24	1	r2-v7-w4-p8	15.694687142968178	r2-v6-w4-p8	15.775312669575214	0.5137122254976534	0.15530462124411984	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t3-ch8-spread	3	8	24	1	r2-v7-w4-p8	15.736563131213188	r2-v6-w4-p8	15.811250545084476	0.4746107091398333	0.2104869939680438	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t4-ch1-spread	4	1	32	1	r2-v7-w4-p8	18.978125415742397	r2-v6-w4-p8	19.538437947630882	2.9524124201629753	0.135020760779222	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t4-ch8-spread	4	8	32	1	r2-v7-w4-p8	19.016250036656857	r2-v6-w4-p8	19.537187181413174	2.739431505960055	0.3220993780016527	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t5-ch1-spread	5	1	40	1	r2-v7-w4-p8	22.684999741613865	r2-v6-w4-p8	23.064374923706055	1.6723614124458441	0.16806092725900534	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t5-ch8-spread	5	8	40	1	r2-v7-w4-p8	22.58625067770481	r2-v6-w4-p8	23.110312409698963	2.320268819611848	0.3403623367863551	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t6-ch1-spread	6	1	48	1	r2-v7-w2-p8	28.110000304877758	r2-v7-w2-p4	28.26249971985817	0.5425094746581927	0.17564922476093486	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t6-ch8-spread	6	8	48	1	r2-v7-w2-p4	28.39718759059906	r2-v7-w2-p8	28.746875002980232	1.2314156508123286	0.20908294734279162	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t7-ch1-spread	7	1	56	1	r2-v7-w2-p8	32.04312548041344	r2-v7-w2-p4	32.490624114871025	1.396551140840252	1.0786244416823974	6	NUMERIC_PASS_TIMING_MEASURED
n512-k2048-t7-ch8-spread	7	8	56	1	r2-v7-w2-p8	32.71937556564808	r2-v7-w2-p4	32.81312435865402	0.28652378410414236	0.5004758887312429	6	NUMERIC_PASS_TIMING_MEASURED
