M	N	K	status	kpack_key	kpack_us	reference_key	reference_us	tc_best_key	tc_best_us	tc_current_key	tc_current_us	kpack_vs_reference_pct	kpack_vs_tc_best_pct	kpack_vs_tc_current_pct	faster_implementation
2	512	2048	PASS	meta-h0-l1-a1-w16	3.2391406130045652	2-4-2	2.9309765668585896	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	10.980664286762476	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	10.980664286762476	10.51403991524451	-70.50141477406383	-70.50141477406383	SIMT
3	512	2048	PASS	meta-h0-l1-a1-w8	3.848437569104135	1-8-1	3.4842969616875052	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	11.035078205168247	fqk_tc_q12_l1_a0_tm16_tn16_tk256_wm16_wn16_s2_bc0_ap0_dn16:s4	11.254453100264072	10.450906206349009	-65.12541644424658	-65.80520141832716	SIMT
4	512	2048	PASS	meta-h0-l1-a1-w8	4.3056251015514135	4-4-2	3.8300000596791506	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	11.065390892326832	fqk_tc_q12_l1_a0_tm16_tn16_tk256_wm16_wn16_s2_bc0_ap0_dn16:s4	11.29296887665987	12.418408210471599	-61.08926342098678	-61.87339973591699	SIMT
5	512	2048	PASS	meta-h0-l1-a1-w8	4.933593794703484	1-8-1	4.679296864196658	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	11.420156341046095	fqk_tc_q12_l1_a0_tm16_tn16_tk256_wm16_wn16_s2_bc0_ap0_dn16:s4	11.658437550067902	5.434511591956515	-56.79924470936304	-57.68220421033392	SIMT
6	512	2048	PASS	meta-h0-l1-a1-w4	5.656718742102385	4-4-2	4.87398449331522	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	11.49480463936925	fqk_tc_q12_l1_a0_tm16_tn16_tk256_wm16_wn16_s2_bc0_ap0_dn16:s4	11.694843880832195	16.059432479949454	-50.78890925446138	-51.63066048813422	SIMT
7	512	2048	PASS	meta-h0-l1-a1-w4	6.421679863706231	4-4-2	5.808242131024599	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	11.524179484695196	fqk_tc_q12_l1_a0_tm16_tn16_tk256_wm16_wn16_s2_bc0_ap0_dn16:s4	11.702148709446192	10.561504132291045	-44.276467819382646	-45.123925330716986	SIMT
8	512	2048	PASS	meta-h0-l1-a1-w4	6.448984378948808	4-4-2	5.861679557710886	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	11.59640634432435	fqk_tc_q12_l1_a0_tm16_tn16_tk256_wm16_wn16_s2_bc0_ap0_dn16:s4	11.767031159251928	10.019394875745768	-44.38807862139855	-45.19446501271275	SIMT
2	1024	5120	PASS	p4-w20-r0-u1	7.076346243803318	2-4-2	7.4513462873605585	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	15.688077188455141	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	16.522115239730248	-5.032648183232857	-54.89347637191126	-57.17045825472131	SIMT
3	1024	5120	PASS	p4-w10-r1-u0	9.025576882637464	4-4-2	10.042884601996494	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	15.833461513886085	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	16.636346395199116	-10.129636649979945	-42.99681800646085	-45.74784229521664	SIMT
4	1024	5120	PASS	p4-w10-r1-u0	10.302500082896305	4-4-2	11.73115407045071	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	16.001923153033623	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	16.801346379977005	-12.178290208914767	-35.617113115912126	-38.680508990789555	SIMT
5	1024	5120	PASS	p4-w10-r1-u0	13.30384612083435	4-4-2	14.227307759798489	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	15.915384659400353	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	16.700961841986732	-6.490768700270378	-16.408893623714636	-20.34083876900987	SIMT
6	1024	5120	PASS	p4-w10-r1-u0	14.825576773056618	1-8-1	18.96403844539936	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	15.964230665793785	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	16.7048080609395	-21.822681304185632	-7.132532200107433	-11.249643102916263	SIMT
7	1024	5120	PASS	p4-w10-r1-u0	19.874038604589607	1-8-1	22.22769191631904	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	16.014615503641274	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	16.81288446371372	-10.588833607152148	24.099380344603393	18.207191915715605	TENSOR_CORE
8	1024	5120	PASS	p4-w16-r1-u0	22.462692398291367	4-4-2	25.359615683555603	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s4	16.060576989100532	fqk_tc_q12_l1_a0_tm16_tn16_tk256_wm16_wn16_s2_bc0_ap0_dn16:s4	16.72961562871933	-11.423372189124859	39.86230017474224	34.2690286304618	TENSOR_CORE
2	4096	2048	PASS	v7-c4-w8-p8	9.229375049471855	2-8-1	10.45499974861741	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s2	13.731250073760748	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	13.776875101029873	-11.722857279911791	-32.78561675088558	-33.0082113556947	SIMT
3	4096	2048	PASS	v6-c4-w4-p8	12.318750377744436	2-8-1	14.585312455892563	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s2	13.698750175535679	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	13.94937513396144	-15.540031007237154	-10.07391024807326	-11.68958996770436	SIMT
4	4096	2048	PASS	v6-c4-w4-p8	14.367499854415655	4-4-2	18.34124978631735	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s2	13.500937260687351	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	14.09156247973442	-21.665644261963703	6.418536557840326	1.9581744400457346	TENSOR_CORE
5	4096	2048	PASS	v6-c4-w4-p8	17.09187589585781	4-4-2	21.641875617206097	fqk_tc_q12_l1_a0_tm16_tn32_tk256_wm16_wn16_s3_bc0_ap0_dn32:s2	13.520937412977219	fqk_tc_q12_l1_a0_tm8_tn64_tk256_wm8_wn16_s2_bc0_ap0_dn64:s4	13.97031219676137	-21.02405448505058	26.41043571027295	22.34426586272058	TENSOR_CORE
